In/IN my/PRP$ opinion/NN the/DT best/JJS way/NN to/TO travel/NN is/VBZ in/IN a/DT group/NN led/VBN by/IN a/DT tour/NN guide/NN ./.

case(opinion-3, In-1)
advmod(able-5, Hence-1)
nsubj(able-5, he-2)
nsubj(arrange-7, he-2)
aux(able-5, may-3)
cop(able-5, be-4)
root(ROOT-0, able-5)
mark(arrange-7, to-6)
xcomp(able-5, arrange-7)
case(food-10, for-8)
amod(food-10, discounted-9)
nmod:for(arrange-7, food-10)
cc(food-10, and-11)
compound(tickets-13, entertainment-12)
nmod:for(arrange-7, tickets-13)
conj:and(food-10, tickets-13)

Who/WP does/VBZ n't/RB like/VB to/TO save/VB some/DT extra/JJ money/NN ?/.

nsubj(like-4, Who-1)
nsubj(save-6, Who-1)
aux(like-4, does-2)
neg(like-4, n't-3)
root(ROOT-0, like-4)
mark(save-6, to-5)
xcomp(like-4, save-6)
det(money-9, some-7)
amod(money-9, extra-8)
dobj(save-6, money-9)

Finally/RB ,/, I/PRP would/MD like/VB to/TO repeat/VB that/IN I/PRP strongly/RB suggest/VBP travelling/VBG in/IN a/DT group/NN led/VBN by/IN a/DT tour/NN guide/NN ./.

advmod(like-5, Finally-1)
nsubj(like-5, I-3)
nsubj(repeat-7, I-3)
aux(like-5, would-4)
root(ROOT-0, like-5)
mark(repeat-7, to-6)
xcomp(like-5, repeat-7)
mark(suggest-11, that-8)
nsubj(suggest-11, I-9)
advmod(suggest-11, strongly-10)
ccomp(repeat-7, suggest-11)
xcomp(suggest-11, travelling-12)
case(group-15, in-13)
det(group-15, a-14)
nmod:in(travelling-12, group-15)
acl(group-15, led-16)
case(guide-20, by-17)
det(guide-20, a-18)
compound(guide-20, tour-19)
nmod:by(led-16, guide-20)

